    0.0050    0.000000
    0.0150    0.000000
    0.0250    0.000000
    0.0350    0.000000
    0.0450    0.000000
    0.0550    0.000000
    0.0650    0.000000
    0.0750    0.000000
    0.0850    0.000000
    0.0950    0.000000
    0.1050    0.000000
    0.1150    0.000000
    0.1250    0.000000
    0.1350    0.000000
    0.1450    0.000000
    0.1550    0.000000
    0.1650    0.000000
    0.1750    0.000000
    0.1850    0.000000
    0.1950    0.000000
    0.2050    0.000000
    0.2150    0.000000
    0.2250    0.000000
    0.2350    0.000000
    0.2450    0.000000
    0.2550    0.000000
    0.2650    0.000000
    0.2750    0.000000
    0.2850    0.000000
    0.2950    0.000000
    0.3050    0.000000
    0.3150    0.000000
    0.3250    0.000000
    0.3350    0.000000
    0.3450    0.000000
    0.3550    0.000000
    0.3650    0.000000
    0.3750    0.000000
    0.3850    0.000000
    0.3950    0.000000
    0.4050    0.000000
    0.4150    0.000000
    0.4250    0.000000
    0.4350    0.000000
    0.4450    0.000000
    0.4550    0.000000
    0.4650    0.000000
    0.4750    0.000000
    0.4850    0.000000
    0.4950    0.000000
    0.5050    0.000000
    0.5150    0.000000
    0.5250    0.000000
    0.5350    0.000000
    0.5450    0.000000
    0.5550    0.000000
    0.5650    0.000000
    0.5750    0.000000
    0.5850    0.000000
    0.5950    0.000000
    0.6050    0.000000
    0.6150    0.000000
    0.6250    0.000000
    0.6350    0.000000
    0.6450    0.000000
    0.6550    0.000000
    0.6650    0.000000
    0.6750    0.000000
    0.6850    0.000000
    0.6950    0.000000
    0.7050    0.000000
    0.7150    0.000000
    0.7250    0.000000
    0.7350    0.000000
    0.7450    0.000000
    0.7550    0.000000
    0.7650    0.000000
    0.7750    0.000000
    0.7850    0.000000
    0.7950    0.000000
    0.8050    0.000000
    0.8150    0.000000
    0.8250    0.000000
    0.8350    0.000000
    0.8450    0.000000
    0.8550    0.000000
    0.8650    0.000000
    0.8750    0.000000
    0.8850    0.000000
    0.8950    0.000862
    0.9050    0.005338
    0.9150    0.011269
    0.9250    0.031465
    0.9350    0.064224
    0.9450    0.148677
    0.9550    0.239184
    0.9650    0.388692
    0.9750    0.560610
    0.9850    0.782897
    0.9950    1.011520
    1.0050    1.283561
    1.0150    1.448247
    1.0250    1.688427
    1.0350    1.910291
    1.0450    2.051119
    1.0550    2.157552
    1.0650    2.302046
    1.0750    2.306011
    1.0850    2.343841
    1.0950    2.369356
    1.1050    2.318186
    1.1150    2.293079
    1.1250    2.265039
    1.1350    2.192972
    1.1450    2.148165
    1.1550    2.069730
    1.1650    2.012310
    1.1750    1.992205
    1.1850    1.858107
    1.1950    1.785727
    1.2050    1.726260
    1.2150    1.659928
    1.2250    1.572368
    1.2350    1.556965
    1.2450    1.470742
    1.2550    1.409996
    1.2650    1.374419
    1.2750    1.349971
    1.2850    1.296711
    1.2950    1.252338
    1.3050    1.195792
    1.3150    1.169557
    1.3250    1.132440
    1.3350    1.094622
