    0.0500    0.000000
    0.1500    0.000000
    0.2500    0.000000
    0.3500    0.000000
    0.4500    0.000000
    0.5500    0.000000
    0.6500    0.000000
    0.7500    0.000000
    0.8500    0.000094
    0.9500    0.394412
    1.0500    2.360366
    1.1500    2.236575
    1.2500    1.385634
    1.3500    0.918181
    1.4500    0.713215
    1.5500    0.648746
    1.6500    0.682938
    1.7500    0.801301
    1.8500    0.973116
    1.9500    1.129989
    2.0500    1.223751
    2.1500    1.202916
    2.2500    1.089792
    2.3500    0.969764
    2.4500    0.895326
    2.5500    0.876111
    2.6500    0.906527
    2.7500    0.966704
    2.8500    1.028038
    2.9500    1.065886
    3.0500    1.069770
    3.1500    1.046837
    3.2500    1.009735
    3.3500    0.976452
    3.4500    0.958308
    3.5500    0.958732
    3.6500    0.976136
    3.7500    0.996188
    3.8500    0.955601
    3.9500    0.886930
